,MAG001,MAG002,MAG003,MAG004,MAG005,MAG006,MAG007,MAG008,MAG009,MAG010,MAG011,MAG012,MAG013,MAG014,MAG015,MAG016,MAG017,MAG018,MAG019,MAG020,MAG021,MAG022,MAG023,MAG024,MAG025,MAG026,MAG027,MAG028,MAG029,MAG030,MAG031,MAG032,MAG033,MAG034,MAG035,MAG036,MAG037,MAG038,MAG039,MAG040,MAG041,MAG042,MAG043,MAG044,MAG045,MAG046,MAG047,MAG048,MAG049,MAG050,MAG051,MAG052,MAG053,MAG054,MAG055,MAG056,MAG057,MAG058,MAG059,MAG060,MAG061,MAG062,MAG063,MAG064,MAG065,MAG066,MAG067,MAG068,MAG069,MAG070,MAG071,MAG072,MAG073,MAG074,MAG075,MAG076,MAG077,MAG078,MAG079,MAG080,MAG081,MAG082,MAG083,MAG084,MAG085,MAG086,MAG087,MAG088,MAG089,MAG090,MAG091,MAG092,MAG093,MAG094,MAG095,MAG096,MAG097,MAG098,MAG099,MAG100,MAG101,MAG102,MAG103,MAG104,MAG105,MAG106,MAG107,MAG108,MAG109,MAG110,MAG111,MAG112,MAG113,MAG114,MAG115,MAG116,MAG117,MAG118,MAG119,MAG120,MAG121,MAG122,MAG123,MAG124,MAG125,MAG126,MAG127,MAG128,MAG129,MAG130,MAG131,MAG132,MAG133,MAG134,MAG135,MAG136,MAG137,MAG138,MAG139,MAG140,MAG141,MAG142,MAG143,MAG144,MAG145,MAG146,MAG147,MAG148,MAG149,MAG150,MAG151,MAG152,MAG153,MAG154,MAG155,MAG156,MAG157,Gvaginalis
SRR6743909,3.441886483629668e-05,,6.253324085690795e-05,0.0001760059099028102,3.674897975580119e-05,3.556497341757976e-05,2.3455954732591523e-05,,0.001561845129635836,0.002712157963426371,0.0007017356324658012,8.471417036415908e-05,,1.350366188900606e-05,0.0027997264660335253,0.008665820140250295,0.0029810081631093817,0.0014413692813554557,0.03142183738393799,0.0006210696409185741,0.0013906452834703952,0.0012473727112557868,0.011112042968851626,0.0006101468545069356,0.0016071824182665188,0.00573591296327017,0.012081690153802904,0.0003600896662907919,0.00032893979005266233,6.657580573057793e-05,,2.9738940008829174e-06,9.591597872632601e-05,,0.00013554696098036826,0.003634415523615178,0.005274755866646624,0.010583286143793379,0.009418131181500979,0.0011380448358548334,0.0013880286602565173,0.01414303001296358,0.011370204621684895,0.04238495660289118,0.06489421310400122,0.1611827854061602,0.006251644086388636,0.009796869247984294,0.033524673359878125,0.00543155719473444,0.008016937433117644,0.007104899789045793,0.0059136887127444,5.768204028706673e-06,8.052667763801771e-05,4.937814576867026e-05,1.8177358025912515e-05,0.0013675043726629741,0.002664963243857228,0.003303797203353343,0.042723835151543085,0.0015821422296331993,0.051446550969265335,0.0009734098427342655,0.007232524550058026,,,3.2971116583879486e-05,0.000528174441731261,9.16546719987531e-05,,3.4865667305367898e-06,0.00031465141421634665,,8.668994360157823e-06,9.726209603592078e-05,2.7046324129078268e-05,0.0008481045633989018,3.52756066159415e-06,9.296519333064762e-05,,1.9603936300765694e-05,0.0007812771089489135,3.3718118203015645e-05,,0.20835374833285156,0.004493520043379038,0.001077769746870122,0.0001698705064481573,0.0001331954717714053,3.488867529563725e-05,0.0015111011678697998,0.0003571414234232772,,0.010876738970181134,0.00022388060582880773,8.364332986620987e-06,7.70957215591269e-05,0.001998178701726862,5.1728118582799264e-05,5.7142514875691354e-05,0.0031775243172706656,6.20444245997356e-05,0.0001092768378317833,4.8046068572547265e-05,0.00017301444417727632,,5.0565083816675376e-05,0.00032691456666403843,0.002561466116554797,4.33652569270961e-05,0.0006289998686640715,0.155955375425054,6.504242138558073e-05,,,0.00010920921226431014,0.00036602383503103015,0.00028686204021092707,0.0003095964082665085,,0.00028299960132477294,,,3.3144342655250347e-06,4.9271622540317295e-06,1.8173599279225304e-05,0.00017277195970228135,,2.601649790276674e-05,3.2564192434468627e-06,6.664162013518483e-06,3.465227261191771e-05,8.205308431628996e-05,4.865653436302464e-05,4.256154597719158e-05,1.4551052430042536e-05,3.0065083459993373e-05,0.0003244543007298573,0.0001230157184353094,3.2100737006020924e-05,3.2415773796387047e-05,7.384920551038862e-05,0.00012734490080470087,9.581710119768259e-05,9.811491100826143e-06,3.0263125736107217e-05,1.1236145858600697e-05,2.0671656588247028e-05,1.1204633655768876e-05,0.0003849226547396164,4.804638139602486e-05,1.5196842187049134e-05,7.468565185362992e-05,2.791644668384119e-05,0.00015034801023525187,5.982307844849287e-06,0.3700154595715944
SRR6743911,,,0.002720649490452667,0.002842609912559885,0.0036563555315317882,0.00010169336075372758,2.9808540222835883e-05,1.2171742714968665e-05,0.0032064421627230276,0.0020168893620057114,0.00130205216367285,0.001141167831599547,4.55498367104365e-05,0.000406140447412624,0.0004023351305960511,0.00021573747720694567,0.0007857498244891473,0.0008314262211485117,0.0006571957355764039,0.0006178889273102999,0.013726637333864755,0.004624059664581535,0.02078223824101421,0.004051775461764869,0.01190015564659862,0.005113769970157994,0.0027615219648444277,0.000273655550585297,0.01013076873086119,7.357091957215872e-05,1.355231859567988e-05,2.2675889330719536e-05,0.00011125798655455789,9.098578609440128e-05,0.0025666322500827476,7.75532303098571e-05,0.00015385538772986432,0.00011797861151519623,0.00011120511229181565,0.00020947842004292698,0.00010864903327858987,0.0006513147519226583,0.00012261011143817498,0.003689855247905763,0.002715368429530406,0.0004116278888803655,7.112073994791071e-05,0.0014637679028620095,0.0004748646493024803,0.00012219607384796483,0.00040102641324268835,7.567149352025725e-05,0.0005592908666524476,2.5656431519076554e-05,3.5907280550046185e-06,0.000484896011151142,0.0003205172047896027,0.00016585444321297414,0.0002797838007104973,0.0014113679827872287,0.0007584889439250422,0.0013878212224351701,0.0027344685415439172,0.016430412980614928,0.004994565515775203,,,0.002122968654018729,0.001999627926894754,1.9412923839829045e-05,5.5901290182370245e-06,,0.0008916855524658187,4.607465790006283e-06,,8.65225395609648e-05,,4.6759091430942445e-06,0.0002174221685204135,0.0007482389580804032,4.7756648267997295e-06,,0.0007576317247735902,1.9477277037118025e-05,0.000301031455911108,0.5533385172190615,0.00034196609931323014,0.0007271048122774359,2.917251389783148e-05,1.7817774108565622e-05,1.970559511746279e-05,0.005248572960980674,2.2980565887326263e-05,2.804319856423926e-05,9.256132020579959e-05,0.04936771969994472,0.0018123550854562923,0.004032072205338642,0.01626445991458902,0.0025111788175933045,0.01184851914870782,0.0082665846964669,0.0035185893508203284,0.002484271627605654,0.00038983442753246574,0.003092242586493077,0.0003919303958886134,0.002523651530421523,0.00027382127433292844,0.0004091060312958232,0.03842208808077661,0.007241779681374209,0.006398928206097245,0.0005030322781124861,,,6.014076743236187e-05,4.388247310647057e-06,,1.5300620450607906e-05,,0.007820204236517596,3.3733604787010085e-06,,8.424167615106307e-06,0.0009329765456283326,0.0014157579723245565,4.435633491506533e-06,0.019858972931793593,0.0007814786037320527,0.007728380864814357,0.0064788000287156694,3.7746138255695474e-05,0.01147210874705328,0.0002094384288186857,0.0014005059665649579,0.00016026330415667343,0.010482178006974752,0.02651377610154023,0.0005198951700671207,0.0035452443304751485,0.02212168848545581,7.987218299972442e-06,0.00013351286075948291,0.00012775583956236748,4.156247037752523e-06,0.0046364822825388195,0.0001784904460264666,7.130474581741018e-05,0.00014476508833887619,0.0002706054605456159,0.0011442871755591175,0.00013840703089794783,0.0065845752545255175,3.225188088370125e-05,0.00010019357700546208,0.00027749120045982126,0.010758714569053128
SRR6743912,,,3.9127807581663116e-05,5.452990978111672e-05,1.954514016310242e-05,2.7427359145640507e-05,,,1.847901299260629e-05,9.973118714321497e-06,9.940532871162222e-06,1.8022272667932227e-05,,1.4363988665241991e-05,8.535457729200146e-05,0.0001720588473739318,0.0002056460920549496,0.0005672476886990232,0.012263070199555743,0.0006939848862200567,0.0003661925385286839,0.0003994646186835755,0.01468182945410197,0.0002658373075527165,0.0013691388617113123,0.002611412593356318,0.0016362278547078393,0.000225237618878906,0.0003392191502079849,2.925066195782885e-05,,,2.4650781570560186e-05,6.0925547900069775e-06,2.4030457159613678e-05,0.00017310297395045857,0.0012045376045893483,0.08828045430372919,0.04824251007180667,0.001373878613573945,0.006874102087979588,0.13731095184012976,0.12722557259484357,0.14657136209765287,0.09746344179339525,0.012519087634970283,0.009274198663306749,0.01104157667306407,0.027770627584667407,0.008153757475476808,0.019759388733867525,0.008551972864226744,0.016554196526738885,2.300887473195364e-06,7.664054778911275e-05,,1.4501586687802012e-05,0.00019163679949283618,0.0002687547929800627,0.00936575861026301,0.019332017480930202,0.0012794640149499151,0.00439232621797956,5.7925952162187676e-05,0.004679107867915578,,,9.352460565318579e-06,0.0004982034954664649,,4.679050540306416e-06,1.1126094257176301e-05,7.248808107247164e-05,7.713083266536561e-06,0.0003119873651511228,1.5518808784990352e-05,1.9179641612266718e-05,0.0002504851262621492,1.8761518829327515e-05,3.662520894783204e-05,,4.010176036420452e-06,0.00014461947609307145,7.98840778808242e-05,7.2509176859173934e-06,0.11631991413308364,0.003254157956839096,0.00028023969943253695,0.0019021607583736924,5.592688377434423e-06,7.216116191866485e-06,0.0009935151409193562,8.655838352993603e-05,0.019004102405101437,0.00011944168666603623,0.00013285938450507056,8.897229892133863e-06,4.415790528077061e-05,0.00041804123595865086,4.62199495728001e-05,2.3528942079164132e-05,0.0009942476773213084,5.8572616033925587e-05,1.7220582780966458e-05,1.5725265773390003e-05,3.7199029335908994e-05,4.970509583519836e-06,3.178300098422603e-05,3.95161930608666e-05,0.006379298176842153,3.7341782827794985e-05,0.00019715655625647898,0.0005896548710051981,6.029093154193478e-05,,,1.4714486633314439e-05,,,0.00017472308069660562,,0.0012426110545393928,,,,7.861612281592299e-06,3.866290139654209e-06,5.569071809611016e-06,4.324235220041034e-06,2.5158204833371905e-05,8.659719394379314e-06,1.5063572412889643e-05,8.55678354466004e-06,6.696539367923391e-05,2.08695454486865e-05,2.3445033837965968e-05,3.482574550914491e-05,2.5723484905470084e-05,0.00023229600148076546,6.770888552563651e-05,0.00010650267285175537,0.00013792401237931883,0.00020641365568412588,0.00013969119076600748,0.00010359251589735474,,3.39796089460937e-05,,0.00023245155709911757,5.959243949994194e-06,1.1978482728470806e-05,1.4196512921437568e-05,2.2226933496642755e-05,0.00018536915044469184,,3.120522465411737e-05,1.5908611082998666e-06,0.6221961344823398
SRR6743914,2.9757408420447544e-05,,6.455339413706438e-05,0.00016105899402991817,8.816251195460265e-05,1.9635753852957943e-05,6.607271218899588e-06,,0.00014158679869565927,0.0007381492725251121,2.8142963243107543e-05,2.4053906230197138e-05,1.1779179501960164e-06,7.69218026677396e-06,0.000117948261572607,0.00024189559857436417,9.837671470924104e-05,0.008282460058624737,0.0008502489724862283,0.0004893882530105316,0.0002967479024680752,0.0002742184851381551,0.012184247608242861,0.0017530873984821977,0.0016549879631228915,0.0018414621441209924,0.0012115947801963865,0.00017974888024869718,0.000154082878745393,1.5410595417757013e-05,,,2.208620007722688e-05,7.341019221736342e-06,0.0006405668801359114,0.0018843022753770263,0.017531238901454922,0.05180012589196285,0.024859402956972802,0.007838926511080492,0.004580410201992986,0.03972699355493426,0.07823595421654107,0.2467074835813772,0.16801763410474116,0.01722467968509104,0.010757369923882435,0.012313164015359911,0.03435426809809162,0.010330849393458812,0.023970985059465495,0.008887604135047314,0.004730573486201423,3.412156387835391e-06,8.914191580672658e-06,1.0621611142458633e-05,8.064553714650126e-06,0.0024514391534196226,0.016958491309141184,0.000974416503284259,0.013489587201021386,0.0029732003482847522,0.005999518989419733,0.00016285717023572783,0.002210123197152423,,,1.1268933172853124e-05,0.0002815945634922725,,,6.874878721354164e-06,6.569318697200481e-05,,4.558316874894103e-06,1.9178325444776724e-06,1.777681910949884e-06,4.353081319114342e-06,1.1129138137308336e-05,0.00013035416164208736,,,6.142010627856668e-05,1.6923716224583063e-05,1.5457326355637116e-05,0.00164750169637737,0.001676265645647465,0.0032722323326919212,0.00011949706765759853,,2.5988902927167712e-05,0.0008189379751544513,0.012921959447732393,4.351179633822055e-06,9.45485453584781e-05,8.921978172121005e-05,4.123237794676319e-06,6.080752518081705e-05,0.0016361821078906648,3.916742015356603e-05,0.0001926373899353623,0.0011075963082315702,6.484040075397278e-05,4.708509231693487e-05,0.00010785574410495424,7.839264517916822e-05,3.685568334780573e-06,3.625643486106258e-05,3.882348606655746e-05,0.0030067018866432324,0.00018241800533948146,0.001966553456405196,0.12902822806167827,0.00010113577294029636,,,1.1484842981239039e-06,,,9.49617040823922e-06,,7.867223703840196e-06,9.683089520211126e-06,,,4.274807868066325e-05,1.2900617778835375e-05,2.546459914277738e-05,4.809546425169629e-06,1.8654482309264224e-06,2.9536919794223405e-05,2.8252121557123813e-05,,5.1885609253643096e-05,3.71387929102313e-06,1.198909534798115e-06,,2.577517587150506e-05,1.2303176407164534e-06,1.128208083121728e-06,1.9290467035166183e-05,6.883481285251924e-06,,1.2555055108330111e-06,,2.57953135015968e-06,3.713012055729752e-05,2.215564652664277e-06,4.076076639204326e-06,1.472900677638918e-06,5.6521114696898936e-06,3.9299045514606384e-05,,1.227221596491893e-06,1.0008396647918014e-06,1.446141813183646e-06,2.3592057221754345e-06,0.6552575592541917
SRR6743916,,,1.2678493153910643e-05,2.630747670173058e-05,1.7592129561063865e-06,7.436665483462346e-05,7.69962263444679e-06,,0.00019768953628618768,0.00014532257215364998,0.00011439458416551237,3.9710064743533666e-05,,3.102886722782914e-06,0.0002500885572843376,8.059175580666336e-05,0.0010170286365421303,0.01631685879493823,0.0014276771324803128,0.000888608132373844,0.0003064121010594235,0.0007446092217140287,0.002508344192893806,0.0027551849805488417,0.0029700670934683228,0.039259155441316196,0.002364792706129406,5.8826404082234845e-05,0.00016536252299807403,2.427704511163861e-05,,,3.993767919766613e-06,4.606365078816751e-06,0.00021387012158454415,0.0010605194498628703,0.008366285261092232,0.004305849108170664,0.002920139443245578,0.00662106589818852,0.01354755756408666,0.01289033825413508,0.005920326272792389,0.047013828264467206,0.07944127467973087,0.008800889150963925,0.007391515665743478,0.008440901202593887,0.0309747891501546,0.13523014780029396,0.007633961058611165,0.005366744971883182,0.03591867045539155,9.940683409854452e-07,2.824220129040971e-05,1.1861901089207052e-05,2.1928273050802896e-05,0.00011864991710941616,0.0011379938941946319,0.0011240380861847236,0.03294492641683955,0.0014017363189646715,0.007129714422871558,0.00022940637551217922,0.002894323589733042,1.594612322104705e-06,,2.9799486009729908e-05,0.0001661890484934102,1.404034289185375e-06,,,0.0005354910549765912,,,2.3466444313070275e-05,1.7608415806146596e-05,0.0005203803552838133,2.8369840941841803e-06,4.1932122700944516e-05,,1.8711476388594508e-05,0.0006341963425005443,0.0001789034542557767,3.132664156170977e-06,0.1161996069716149,0.029383772533592534,0.0035105315306239136,0.0017839153021829968,,1.4252016575142197e-05,0.0009937381219585772,0.00028358949985570175,0.0001090166366464138,0.037795173597354306,0.00038230672266799685,4.276374142876707e-05,2.5891361701245178e-05,0.001391529485817682,3.708477450286612e-05,1.5671614712791753e-05,0.0007702129271500766,3.956217087893351e-05,5.672944774969694e-05,2.4627870886206408e-05,0.00010700138402747563,1.0737218297511863e-05,4.225055355712734e-05,9.81666128310309e-06,7.503553212459153e-05,0.00018980034002227358,0.0002800030180783417,0.2596723897792222,9.437029133078741e-05,,,3.0113059778227403e-06,,,0.00033435524266522043,,0.002119058960678154,4.5745753778743214e-07,,,2.2643378462369803e-06,3.0066841622648113e-05,0.00012030223205397883,4.670573182407037e-06,7.06502769081444e-05,3.928384434987608e-05,4.8235908896849407e-05,1.7062368100946438e-06,1.9504397219559123e-05,0.00012767242467429034,1.0129120247366217e-05,7.244374166362569e-06,2.7933920449769252e-05,6.810173351577201e-06,,0.00041833272159904884,9.740389590507189e-06,8.665099956783982e-06,1.4630727767358876e-06,,,0.00010585373967232377,3.0551942800647834e-05,3.392826187910893e-06,1.3731271528132467e-05,7.527486260454138e-06,3.066708870380648e-05,2.3279650728820594e-06,7.15056402921857e-07,5.831520669562061e-07,3.3704522997508083e-06,6.873107360047065e-07,0.38502338692676125
SRR6743917,,,0.003599677951681329,0.009177014119886957,0.0010494152162052333,0.000115878793180472,,,0.00017101621017215034,0.00016088203984545034,0.0003092587311408217,0.00028934309515369727,,0.001328369026629807,6.884515715813166e-05,0.0028069857808689755,0.00041640317911734317,0.00031010116003102084,0.0003828290974690514,0.00019936812915919718,0.0006696117397064252,0.0005009462614538169,0.0033009669529946682,0.0006090078799975912,0.0017447184669079695,0.0012012027110109064,0.0005067415234727487,8.602161937898927e-05,0.0015442239768435882,1.3008645047890381e-05,,,0.00020829587013345156,,0.0007411478673993231,1.5236431448807363e-05,0.0001594738620606159,0.0003337714171564993,0.00016854033108201847,4.5665142617518954e-05,9.04050751341873e-05,0.0010646273307561194,0.0005094716576065423,0.0031610786566233454,0.0019313684655416104,0.00032727980320804877,0.00026198770375406916,0.0002588201587197865,0.001141313897776767,0.00016336573414392765,0.00020392013173350674,0.000139152663767184,3.478632660909922e-05,,,4.5390825276816595e-05,6.637394017046273e-05,2.550087894983212e-05,0.00021672897523832279,0.0002468618836059967,0.0011057769637798775,3.0171078315268546e-05,0.0018764505536918658,0.0020241487323783814,0.0008373933182055993,,,,0.0009966117443661415,,,,,,,0.0005627743964143476,4.558090930017187e-05,0.00498550613903912,0.011628349532455508,0.8767208223789028,0.010939491509516402,,0.0001004003426551232,,3.8293314461729714e-05,0.009339470349499593,0.00010566817684076724,0.0001734133133956854,0.0007427834641025966,,,0.00039579746718197315,0.003535133758538515,,2.7277475183664694e-05,0.006921208439539139,0.0003195168074745294,0.0005397037321611974,0.002381012140154098,6.50920849861169e-05,0.0009485202595356488,0.0011506513734697373,0.00010456287060545106,0.0003819681211236823,4.9828662247061034e-05,0.0005542079860184972,2.1000076929455264e-05,0.00012395177928216518,0.0003714711446890942,5.204115914460195e-05,0.0008166740759831553,0.0012228760141613712,0.0001307138998022745,1.6703293818642782e-05,,3.3509252525273776e-06,0.00020777113362200662,,,0.004576027058915961,,0.0075736473668765614,2.9823501827350738e-06,,,0.0001439307834254299,0.00013476228327305708,1.9607469224626578e-05,,0.001477455534411839,0.0003256220427065488,0.00014600362389550543,,0.00010172562532161245,,,,0.0001791751949618829,,6.428440442795404e-06,2.0609166701680274e-05,5.603076005890661e-05,,,,1.4697965652703064e-05,0.0002946791122033785,,,8.392471589244215e-06,0.00010581736238677602,6.797658059001015e-05,,,1.1405410534019784e-05,1.6480003391154905e-05,,0.009197172530240008
SRR6743919,,,,,,0.00010268999842900009,,,6.369573724972212e-05,0.0002625120161652762,,6.522745788461245e-05,,5.776349218179928e-05,2.8083745435720755e-05,0.0003699370106391151,0.001440558550125486,0.0006231217345091845,0.0012769682501314774,0.00017078772768764128,0.0005893352104079423,0.00029375186004424716,0.0020029241944715497,0.006632714190968297,0.003353746676398437,0.002431022887667317,0.0007502922082648774,0.00010362655874757252,0.00019322555519465302,,,2.8622653220535027e-05,,,,0.0004568274932731888,0.0018683768370103965,0.008600047092102455,0.004499819834414718,0.00034772284372496,0.00024201582235577153,0.008374686723561552,0.007266201612210114,0.00425080856041274,0.0015867940864352985,0.0026153230821592253,0.0042641790897285405,0.025066340479444293,0.001981244194523709,0.0009254523504636112,0.0007940326286992893,0.0014900555662223423,0.000744988391728372,,5.4388780485928845e-05,,,0.0001638390193650913,0.0004237886993183205,0.0004806204975914094,0.0016738702644838574,0.00027999731400594054,0.004585676354864199,8.735400807247078e-05,0.0012139750093328656,,,,7.085000424511882e-05,,,,,,,0.07664420814134502,0.01468588337804783,0.002567443415981424,0.001493865753807735,9.941737030801766e-05,5.42527689288171e-05,,0.00030716949977060694,,,0.7262053962033312,0.024188988742569577,0.001050120716724373,0.009942215668215243,,,0.006513481755507698,0.00017404338818504666,,,4.53635744673926e-05,,,0.0007979977871895847,,,,2.9857756346706137e-05,,,,,,0.0027888850029925577,8.916160626095199e-05,3.974999046384715e-05,5.693319160256915e-05,0.0007410138064072418,3.5771986327703174e-05,1.488557832335366e-05,2.8705536433724684e-05,9.810258590883564e-05,,,6.62167412639947e-05,,0.023826278490617223,,,,,,,7.825285853106176e-05,,,,,0.0003540174495670738,,,9.336574147683804e-05,2.5162221292187453e-05,,2.7534459505402686e-05,0.0014418038755963372,2.3999237569789523e-05,3.0245611485735042e-05,,,,,,,3.5946847634447615e-05,,,,2.995093179909065e-05,2.442597215343416e-05,,,0.05936010676558909
SRR6743923,,,2.3035773424079117e-05,0.00011557251497298431,7.671226648710327e-06,4.899885727767419e-05,,,0.00012226123071208697,0.00020069817926037753,1.276866539797552e-05,2.1220559771921395e-05,8.60432089835782e-05,4.134304926345286e-05,0.0001443572158697276,0.00048542068774168193,3.1243957487931706e-05,0.00011949884405408593,0.0009422894895123595,0.0002252139892366003,0.0006101256399981116,0.0002626009242658839,0.0006389673589414758,8.699560585915355e-05,0.0004822890333350664,0.00017073155246602475,0.0006224392913509775,0.0001273602393770857,0.00028819991876990076,3.6254287410817823e-06,,,3.2250426605212672e-06,4.8422866633068685e-05,0.00011883889451523214,2.8308660014255483e-05,0.0003294112637969674,0.000517423889549913,0.00032879801905633213,0.0009247990327089961,6.928716868224537e-05,0.0014207606628049737,0.0006404501642940197,0.0024918219650700664,0.0023788081980203176,0.0005091471468931998,0.00034462772780837283,0.0017231431553489203,0.002524999780817855,0.0007695872633361084,0.0004933988115255869,0.00014617448138619601,0.0003379307141885199,,0.0001875605809168885,,7.968371689719741e-05,2.1320810690248258e-05,0.00048058204468600567,0.00069299232261289,0.0005618900654461921,0.00021021231279452621,0.0007186622757831354,0.00018188177896718012,0.0002692803775639443,4.345918048619022e-06,,5.506088274705128e-06,6.223433131453667e-05,,1.10188180476359e-05,2.183427441539666e-05,0.00010326542570736474,,0.0002388703134440537,0.00018577370664438447,0.0001411457432201841,0.0001520768780353025,0.00015905516253535062,5.174979537533004e-05,,,0.00025902368076387246,1.1517618164191384e-05,,0.665633254753297,0.0005889813180787129,0.00018998381283299038,0.00037951677008744367,,2.427631437612402e-05,0.005666260502340911,0.004201339888623425,1.381913107215403e-05,3.0408253019722606e-05,0.00022432477387628126,6.809503520231645e-05,3.3424907736236035e-05,0.000398767068434005,7.77461169169222e-05,1.385222970933625e-05,0.00014563606188731495,2.3312819125893155e-05,1.5207449676742676e-05,0.0005138167543413428,0.0002858557757745549,5.852591271780631e-06,,,0.00022045393686195226,0.000237947548426147,0.00044453212849562845,0.0012535914637698277,5.8188805653765705e-05,,1.867764194503811e-06,9.118823161607784e-06,,,,,0.28989644013575944,,,,,1.5933447951066616e-05,1.3114752327574474e-05,5.6007898121420686e-05,0.00011256685309222112,2.0392998863397753e-05,0.0004173364613314678,2.480072929047747e-05,0.00028704679998772434,0.00014350701032200968,0.00021703760721485113,5.01184784315894e-05,1.6372136466509166e-05,0.00010745426749228768,3.5831330097553055e-05,0.0002603786646504037,1.5615425523133926e-05,1.9679712415184102e-05,1.5949693348580907e-05,,,4.6327059595315504e-05,0.0002673878981341878,7.397381475847417e-05,,,0.00011589669250382295,9.516869981387735e-06,0.00010133747066693088,9.535851659026836e-06,9.18574958844118e-06,,0.013780850071494136
SRR6743926,,,,7.011383029320227e-06,,,,,,,,,2.4511034856358854e-05,,2.0951848226121733e-05,6.5712169254262195e-06,4.3866414881037934e-05,5.242999659519922e-05,0.00012991101768476023,9.950582971038451e-05,2.512416588559298e-05,7.078241963810318e-05,0.00041252561113469907,0.0003297023490604922,0.0002978641807894193,0.0034573360721593853,0.0009595794839782041,1.718010738864259e-05,1.2673030211541506e-05,1.4846096366200416e-05,,,7.923911494493124e-06,3.231411828008128e-05,,1.3910843365054932e-05,0.0003768456144061331,0.0008427769198011414,0.0007847732972575993,0.0006995027958537685,0.0001857143779763679,0.0026543171325268526,0.0012321447212468174,0.0059063573246079994,0.005123148076248674,0.0034028212723434806,0.0023488895442013284,0.003601424984082922,0.00372280510858005,0.00182351224248796,0.004709478183076925,0.00032250192435644143,0.001651513440085761,,,,,2.9102839297887923e-05,0.00022368285020136182,0.0010490628618279683,0.0021934899791781082,0.0016711335716104155,0.0002312290525638298,1.8620104066622783e-05,0.0002470049335839965,1.4237194606705907e-05,,,3.02043256233947e-05,5.01426186980327e-05,,,0.0010045342340960985,,,5.986163171025077e-05,0.00012484594411267443,0.00011322788646656226,8.684391793568997e-05,1.412766147016783e-05,,6.187476998045209e-06,0.0002880912276759519,,,0.8536757516739367,0.0003644607968868409,0.0006442236205346512,0.0002448912550196479,,,0.009576109051647333,0.010777125329519584,0.003666980865647138,0.005043121081513248,1.9339112103844903e-05,,,0.0007450322372814287,1.6979712672579592e-05,,3.211267739222347e-05,1.2728769810088238e-05,,3.791125664486163e-05,7.552107710194372e-06,,,,0.0002328162232449967,8.472982241067331e-06,0.0002508044469637858,0.04385102944281155,8.768799980762242e-05,,,6.57210303240401e-05,,,,,0.016535391417252913,,,,,3.728418199353085e-05,,,9.70442521131493e-06,,1.0253933144813032e-05,,1.1609421510671246e-05,9.660161891945534e-06,0.00048024599913705556,9.950773072220356e-06,5.363499504444318e-06,,,0.00044531541061651247,2.0462406290429284e-05,,,,3.354806187175048e-05,,,,,,0.00014968023226408588,,,,,,0.03649891395384521
SRR6743928,,,1.6349964619753505e-05,3.0381192668967948e-05,,2.1077350936127677e-05,9.929299651814562e-06,,5.8831613833766084e-05,0.00016669488857757995,5.034855609988566e-05,,,,5.620145028971356e-05,0.00034643242959734205,7.391946287258746e-05,0.0014842797824626288,0.00023678404489116444,0.0002348655624866149,0.00014112275890498422,0.00038535234248328055,0.0011682657537088522,0.0011138558425687185,0.0009390182503385084,0.009781452159364821,0.000862120225526975,4.9629024731659824e-05,2.745690621567875e-05,,,,1.907516207725881e-05,1.6972252628367992e-05,4.01655138521294e-05,0.00030138705209387426,0.0026658636598112686,0.0011485124553875091,0.0010371956656089522,0.006236031363762566,0.00014902286000369357,0.047740614379299835,0.008169368286920291,0.07346469519066424,0.09125918450696366,0.0064738187173387,0.004325489945362911,0.005460949386290824,0.012776474505479583,0.004357294212537133,0.008635741979386153,0.003980589104055129,0.0017169667744242486,,,6.650826814154965e-05,2.0198800114300825e-05,0.0002942478323976774,0.005591801223831553,0.000769457736765951,0.007378852103837838,0.0006631162204501028,0.001199296817524866,1.3447203564038888e-05,0.0007984800357672263,4.112768722928737e-05,,,0.03592631042744307,1.8106182394412507e-05,,0.00019629766117062528,0.00033904749240051737,,,0.056416863485081244,0.011587507385316047,0.01947257868038459,0.0019181126161931712,0.3275716863301753,0.0036524445508611123,,0.00015509617128020407,9.083101893621476e-06,6.059743949520583e-05,0.20561769690194087,0.0003328819404023784,0.0005598772963140405,0.00016325295310353063,,2.2973941376053934e-05,0.0017855944851341574,0.0007501786558301495,,0.00014388457230361112,6.98323103559696e-05,1.2392669301033095e-05,,0.0008205920256837038,6.744393509969517e-05,3.277271709569265e-05,7.951326618359196e-05,0.00010571439980418894,1.199300176363091e-05,7.666128364342891e-05,3.272421980666753e-05,,,,0.0007274495777014553,4.283356398423663e-05,0.0001343851406496469,0.006950729366337157,0.00020374826671563717,,,5.3935109724537864e-05,,2.1519864363075264e-05,0.0015391958861946215,1.0511523363563836e-05,0.00690805198759242,,,,,0.00019386838435386092,9.308380170493213e-05,,,,1.4810521556376613e-05,,0.0001928360784876105,5.581157353697802e-05,,7.186322409527409e-06,3.8734514798534055e-05,0.0001571566127578835,,0.0003804858736938075,5.9110763680576975e-05,2.7935906104966967e-05,,1.8618158643895645e-05,,1.9928050309333966e-05,,,,1.213414446614895e-05,4.218426142276347e-05,,,,,1.7726879811403323e-05,0.2683611869887227
