Sample,Total Sequences
SRR6743909,425720
SRR6743910,142855
SRR6743911,889282
SRR6743912,714380
SRR6743913,34904
SRR6743914,791838
SRR6743915,100174
SRR6743916,1457803
SRR6743917,324691
SRR6743918,239704
SRR6743919,77962
SRR6743921,110923
SRR6743922,60402
SRR6743923,526647
SRR6743925,97345
SRR6743926,343971
SRR6743928,229722
SRR6743929,37210
SRR6743931,61885
SRR6743932,58273
SRR6743934,892255
SRR6743935,302153
SRR6743937,3508
SRR6743939,478534
SRR6743940,329937
SRR6743941,64400
SRR6743942,159823
SRR6743944,1172264
SRR6743945,417432
SRR6743946,4234749
SRR6743947,568092
SRR6743948,285173
SRR6743951,100900
SRR6743952,3012770
SRR6743953,176357
SRR6743954,1077636
SRR6743955,642717
SRR6743956,72231
SRR6743957,13906
SRR6743958,508237
SRR6743959,200510
SRR6743961,425363
SRR6743962,704651
SRR6743963,297353
SRR6743964,1452416
SRR6743969,278292
SRR6743970,491961
SRR6743972,484814
SRR6743973,361163
SRR6743976,103458
SRR6743978,4645911
SRR6743979,1476676
SRR6743980,685136
SRR6743981,4766771
SRR6743982,2791526
SRR6743983,464350
SRR6743985,201356
SRR6743986,10770744
SRR6743987,224061
SRR6743988,685982
SRR6743989,90305
SRR6743991,6864238
SRR6743992,68268
SRR6743994,52660
SRR6743996,96706
SRR6743997,662144
SRR6743998,90939
SRR6743999,505787
SRR6744000,1374476
SRR6744001,861664
SRR6744002,1009984
SRR6744003,35371
SRR6744004,163016
SRR6744005,20207
SRR6744006,290253
SRR6744007,9395
SRR6744008,437
SRR6744009,2523798
SRR6744010,306311
SRR6744011,439827
SRR6744012,631602
SRR6744013,313239
SRR6744014,79499
SRR6744015,364380
SRR6744016,247406
SRR6744017,193042
SRR6744019,63139
SRR6744020,1771065
SRR6744022,1048446
SRR6744023,2825247
SRR6744024,92563
SRR6744025,64079
SRR6744026,117625
SRR6744027,71989
SRR6744028,119897
SRR6744031,410229
SRR6744033,3506820
SRR6744034,50447
SRR6744036,3026073
SRR6744037,159568
SRR6744039,259125
SRR6744040,269633
SRR6744041,2721625
SRR6744042,257134
SRR6744043,2270042
SRR6744044,224701
SRR6744045,1781
SRR6744046,1213958
SRR6744048,67489
SRR6744049,414726
SRR6744050,317101
SRR6744051,984336
SRR6744052,1555662
SRR6744053,375009
SRR6744054,125421
SRR6744061,63499
SRR6744062,141638
SRR6744063,2547009
SRR6744064,1905104
SRR6744065,343428
SRR6744066,1073311
SRR6744067,1157726
SRR6744068,823533
SRR6744069,88284
SRR6744070,54961
SRR6744071,205836
SRR6744072,611346
SRR6744073,321027
SRR6744076,479761
SRR6744077,64775
SRR6744078,1568632
SRR6744079,348940
SRR6744080,233799
SRR6744081,46134
SRR6744082,501145
SRR6744083,1663441
SRR6744084,47211
SRR6744085,143487
SRR6744088,61464
SRR6744089,303874
SRR6744090,394826
SRR6744091,115121
SRR6744093,1493282
SRR6744096,224128
SRR6744098,7649881
SRR6744100,95004
SRR6744102,196440
SRR6744103,729897
SRR6744104,327332
SRR6744106,596356
SRR6744109,88506
SRR6744110,637871
SRR6744111,13488
SRR6744112,247190
SRR6744113,1312072
SRR6744115,128132
SRR6744117,66441
SRR6744118,311535
SRR6744119,101412
SRR6744120,360020
SRR6744123,11419530
SRR6744124,144504
SRR6744127,192215
SRR6744128,159279
SRR6744129,4632441
SRR6744130,93713
SRR6744131,127626
SRR6744132,66366
SRR6744135,308968
SRR6744136,1464475
SRR6744137,351280
SRR6744138,98506
SRR6744140,59682
SRR6744143,658722
SRR6744145,1857178
SRR6744146,78747
SRR6744147,179812
SRR6744148,53052
SRR6744149,1303030
SRR6744150,152931
SRR6744153,181211
SRR6744154,173189
SRR6744155,78725
SRR6744158,11287
SRR6744159,394917
SRR6744160,333372
SRR6744161,1022191
SRR6744162,314278
SRR6744163,155046
SRR6744165,729126
SRR6744167,319057
SRR6744168,438290
SRR6744171,3252432
SRR6744174,413376
SRR6744175,232268
SRR6744177,267188
SRR6744178,237291
SRR6744179,75945
SRR6744180,67859
SRR6744181,5283
SRR6744182,82509
SRR6744183,76609
SRR6744184,8409
SRR6744185,134370
SRR6744186,145675
SRR6744187,603329
SRR6744189,107511
SRR6744190,924261
SRR6744191,913931
SRR6744193,269499
SRR6744194,422221
SRR6744195,720096
SRR6744197,3387
SRR6744198,2176784
SRR6744199,126839
SRR6744201,411993
SRR6744202,8477975
SRR6744203,127009
SRR6744204,327825
SRR6744205,352707
SRR6744206,70508
SRR6744210,279831
SRR6744211,1038095
SRR6744212,100637
SRR6744213,96292
SRR6744214,159232
SRR6744215,16962
SRR6744216,4177752
SRR6744217,63459
SRR6744220,243694
SRR6744221,103337
SRR6744222,327706
SRR6744223,115668
SRR6744224,134506
SRR6744225,145927
SRR6744226,76954
SRR6744227,159057
SRR6744228,2003385
SRR6744229,4532226
SRR6744230,442140
SRR6744233,635358
SRR6744234,248257
SRR6744235,181461
SRR6744236,6123442
SRR6744237,2782580
SRR6744239,112666
SRR6744241,317705
SRR6744242,658320
SRR6744243,341576
SRR6744244,92455
SRR6744245,134764
SRR6744247,108915
SRR6744249,905849
SRR6744251,118716
SRR6744252,714366
