,Component 1,Component 2,Component 3,Component 4,Component 5
EP007214,0.053268223,-0.016482855,0.002547198,-0.005717453,0.012114369
EP010982,-0.09698109,-0.029521894,0.027157901,0.01917657,0.002591174
EP016061,-0.103559211,0.054760785,0.023786293,0.008984761,0.006128463
EP021899,0.137513118,-0.027850807,-0.04578532,0.030735007,-0.005145523
EP044068,-0.045679996,-0.023187171,-0.050408934,0.00587274,-0.001242669
EP062329,-0.086834285,-0.011325769,-0.014296345,0.032080196,-0.000572311
EP070043,0.051363609,0.068366878,-0.027584785,-0.034458221,0.012752042
EP074002,-0.083917118,0.120996081,0.035911894,0.010631648,0.001337206
EP082756,-0.028799006,-0.007678947,0.052372596,0.012063162,-0.011452177
EP087695,0.08243901,0.13421266,-0.011030174,-0.01382385,0.004075011
EP097937,-0.009744799,-0.031220507,0.174094595,-0.025874833,0.042648779
EP098909,0.035705187,-0.039153889,0.040247393,-0.035481518,0.022908348
EP111886,0.095065266,0.03251616,0.049833997,0.009726882,0.011238451
EP117219,0.012100089,0.07991004,0.013241156,0.044377638,0.005779751
EP117702,0.049214435,-0.058022277,-0.025213055,0.028245516,-0.003475729
EP129024,-0.052189297,0.138673821,0.04375077,0.046010928,0.005883786
EP155239,-0.061650132,-0.122993134,0.651178357,-0.058167549,-0.000266415
EP169772,-0.060422544,-0.070005714,0.009835346,-0.004908766,0.001208152
EP171330,0.043026883,-0.018480974,0.012009201,0.020584128,-0.023590515
EP213757,0.090364931,0.045716301,0.024075178,0.012904692,-0.009023682
EP218239,0.009281148,-0.086251031,-0.034571022,0.015342533,0.029735229
EP222037,-0.036477413,0.014411975,0.069461692,0.136276395,-0.000776336
EP223167,0.105582033,-0.064988921,-0.001685618,0.0124889,0.007936315
EP229454,-0.027741621,-0.023180159,0.021963841,0.031970384,-0.004576063
EP235198,0.057783157,-0.033541649,0.013003721,0.005439984,0.008586628
EP237361,0.078703918,0.025194991,-0.003675937,0.002353611,-0.000992458
EP243618,0.042838853,-0.00829726,0.01628038,-0.007806477,0.040228779
EP243984,0.021675675,-0.00491563,-0.00157014,0.03420749,0.01092165
EP244800,-0.004966505,0.033577937,0.197551901,-0.051628551,0.053408369
EP246574,0.060949448,-0.060020359,-0.026766985,-0.004198099,-0.021098
EP266239,0.114086502,-0.092172024,-0.00280415,0.008163159,0.010743919
EP273248,-0.028146257,-0.080127878,0.045039031,-0.007637156,0.005943211
EP275797,0.085227972,0.00673623,0.024850423,0.001113959,-0.006253839
EP284529,-0.016373273,0.029795979,-0.020479207,-0.090315684,-0.00247647
EP285667,0.019959944,0.272223691,0.0052877,-0.01582334,0.00136578
EP285935,0.128041501,0.119075154,0.027134775,-0.007857865,-0.003414175
EP287690,0.075398315,-0.006643388,0.019452336,0.048456352,-0.006078876
EP291560,-0.082602547,0.015931991,0.02449773,-0.016265368,-0.004055135
EP291588,0.016061959,-0.03542045,-0.012047109,0.050255345,-0.007754161
EP295439,0.05334428,0.054258306,0.015930122,0.015908743,0.018566523
EP296970,-0.110073472,-0.085927527,0.028969786,0.002682798,0.005368922
EP307640,0.151733486,0.139649198,0.015416638,-0.035768251,-0.012127137
EP310863,0.006529543,-0.018246109,0.005057557,-0.058154711,-0.009862756
EP312022,0.111125282,-0.126247753,-0.030410587,0.03751342,-0.002474374
EP314756,0.065117894,0.038998242,0.006105125,-0.017879214,0.003014012
EP328824,0.037703754,0.000480986,0.26081435,0.006330994,-0.001078487
EP331612,0.123090035,-0.025455572,-0.004575612,0.054880982,0.006674775
EP333268,0.012465687,0.151852549,0.016942205,-0.012043117,0.008141902
EP338059,0.00575744,-0.040031234,-0.008436343,0.032554589,0.014963213
EP346571,-0.04394971,-0.008825091,-0.035013519,0.006808295,-0.001293829
EP364626,0.112454438,-0.05305822,-0.002216243,-0.014450204,0.001503372
EP368562,0.156888759,0.142399035,0.029255879,0.037778873,0.004812474
EP376326,0.110902575,-0.004805496,-0.014483385,0.005431734,0.000348774
EP377475,0.087528045,-0.000912819,0.024576041,-0.192043926,0.009448081
EP391714,-0.093943821,-0.056028213,-0.012127513,-0.005872645,-0.007142308
EP407012,-0.107633124,-0.065823496,-0.078083743,-0.055091118,0.010386851
EP416787,-0.026798098,0.04333973,0.006462437,0.001735653,-0.008761628
EP424615,0.130278026,-0.054264481,-0.010516441,-0.046920826,0.000256371
EP426527,0.118204548,-0.042152017,-0.000322232,0.044500267,-0.008866214
EP437943,-0.082982858,0.012636393,-0.019671343,-0.035656371,0.004171438
EP439098,-0.031032811,0.006264378,0.035541872,0.029526348,0.018185197
EP442697,-0.077909666,0.020681689,0.058959356,-0.006085292,0.024611013
EP445627,0.120450582,-0.062899145,-0.007135446,0.008131881,0.000395719
EP451380,0.102179954,-0.026814371,0.016522544,0.01235321,0.001432898
