,metrix,MAG,fdr,fdr1,fdr2,fdr3,p,ptb_sub_count,tb_sub_count,ptb_sub_mean,tb_sub_mean,p1,ptb_sub_count1,tb_sub_count1,ptb_sub_mean1,tb_sub_mean1,p2,ptb_sub_count2,tb_sub_count2,ptb_sub_mean2,tb_sub_mean2,p3,ptb_sub_count3,tb_sub_count3,ptb_sub_mean3,tb_sub_mean3
73,LD_count.df,MAG023.fasta,0.9913776213800772,0.7150597086782132,0.9711146402980124,1.0,0.9913776213800772,13,38,4932.448717948719,10192.80701754386,0.5958830905651777,6,9,3644.916666666666,8596.333333333334,0.9711146402980124,8,13,9311.0625,3907.0769230769233,0.7098668700690556,6,29,3246.666666666666,13823.402298850577
79,LD_count.df,MAG038.fasta,0.7559055127526285,0.8542396057680933,0.7840844429722195,1.0,0.5669291345644714,14,36,9620.79761904762,4430.425925925926,0.8542396057680933,5,10,21516.2,9522.15,0.6488818872768125,6,17,38995.0,6049.254901960784,0.4914378515619343,7,22,1054.7857142857142,1302.0984848484848
77,LD_count.df,MAG042.fasta,0.7004344471541024,0.7103852987568071,0.589326164147945,1.0,0.4669562981027349,22,48,7815.140909090909,23613.57638888889,0.4725223268930541,7,12,15642.857142857143,19181.75,0.2455525683949771,13,24,6427.769230769231,26968.784722222223,1.0,11,37,12050.651515151516,20621.283783783783
72,LD_count.df,MAG043.fasta,0.7004344471541024,0.7992853760462256,0.589326164147945,1.0,0.4172908967997946,20,44,2158.93,5013.017045454545,0.7326782613757068,7,10,4240.642857142857,1943.6,0.22733349301264816,12,22,2616.958333333333,6664.727272727273,0.9726084533582662,9,29,2628.222222222222,4449.1091954022995
70,LD_count.df,MAG044.fasta,0.7004344471541024,0.7150597086782132,0.7840844429722195,1.0,0.4448184688820742,23,52,4898.210869565218,4956.884294871795,0.5686182086635944,6,13,6121.583333333332,7447.8076923076915,0.7187440727245344,14,23,4131.25,5472.173913043478,0.8615700480239087,12,37,6107.333333333332,4629.3693693693685
71,LD_count.df,MAG045.fasta,0.3470618352721724,0.7103852987568071,0.604542062846013,1.0,0.0867654588180431,20,45,8430.105833333333,4678.095555555556,0.2912928476178128,6,11,16399.0,7735.909090909091,0.3022710314230065,11,21,7256.181818181818,4543.5,0.5743623538369506,10,31,7367.6,3143.8172043010754
75,LD_count.df,MAG046.fasta,0.783470682236359,0.7103852987568071,0.589326164147945,1.0,0.6960665584665849,17,36,3430.558823529412,3504.625,0.376759117811582,6,9,3976.916666666666,3137.666666666666,0.2323876033023816,8,17,4141.125,5547.176470588235,0.3153024520817456,10,25,2929.0,3230.813333333333
76,LD_count.df,MAG049.fasta,0.3470618352721724,0.7103852987568071,0.589326164147945,1.0,0.05785783639060325,21,49,13113.321428571431,5981.025170068027,0.4735901991712047,8,14,11924.8125,14717.607142857143,0.13245136912647584,13,26,16803.30769230769,4721.1858974358975,0.3593798399160838,9,35,5348.092592592592,2153.1666666666665
78,LD_count.df,MAG051.fasta,0.783470682236359,0.7103852987568071,0.7840844429722195,1.0,0.7181814587166624,17,35,7538.024509803921,3886.069047619048,0.4167928118476271,5,7,15826.0,5546.285714285716,0.7059672880183405,9,17,5825.777777777777,3494.2647058823527,0.7054355336187048,10,24,6137.9,3341.027777777778
69,LD_count.df,MAG061.fasta,0.29203941309226206,0.7103852987568071,0.589326164147945,0.7077515613454317,0.024336617757688504,19,47,1824.5,1049.6833333333334,0.13324702034013247,4,11,1257.0,784.4545454545455,0.07578862714113796,11,20,2975.5454545454545,709.475,0.058979296778785974,11,34,1449.1818181818182,1121.5710784313726
68,LD_count.df,MAG086.fasta,0.7004344471541024,0.7103852987568071,0.7840844429722195,1.0,0.3020373301813312,29,84,2801.7948275862072,1774.557426303855,0.18326842047975334,10,17,2873.25,1348.5882352941173,0.5744832567903791,18,38,4003.444444444444,3100.631578947369,0.9161569810667732,22,70,2450.780303030303,1895.5107142857144
74,LD_count.df,MAG113.fasta,0.7004344471541024,0.7103852987568071,0.6188996056714411,1.0,0.4561780676385302,15,33,4541.088888888889,3294.6020202020204,0.18457255283988291,3,8,3878.333333333334,2321.9375,0.3610247699750073,9,14,4212.61111111111,1963.9285714285716,0.4620294517114482,7,23,6484.928571428572,3875.8550724637676
21,LD_dis.df,MAG023.fasta,0.8585784576166164,0.8836174593813683,0.8527984198171827,0.6379808927712702,0.7870302528152318,13,38,55.18848572118886,55.976667391457475,0.6799884022342944,6,9,47.69611672661142,59.965007963616344,0.4049361859792122,8,13,60.566330582973954,52.79018792861406,0.5546015324933897,6,29,62.47858000478006,60.11342425001583
27,LD_dis.df,MAG038.fasta,0.46421114256859686,0.88042161815635,0.8527984198171827,0.6379808927712702,0.16342694566097382,14,36,37.117853657426146,34.375267655315646,0.35832646674888025,5,10,40.76775126707191,32.307873475057804,0.5517639051903801,6,17,43.98889360854717,43.201088071691935,0.17683480045574784,7,22,36.14055080435511,32.659169091953274
25,LD_dis.df,MAG042.fasta,0.8542442756996399,0.88042161815635,0.8342614246060639,0.6588237067863189,0.5311633175438868,22,48,42.21028584074273,42.857069003060545,0.37485714268334,7,12,42.73760459199069,34.545112972310726,0.13904357076767732,13,24,49.949931544955,42.09446807493383,0.6588237067863189,11,37,42.439900518052895,43.106223506749906
