,count
SRR6743909,13
SRR6743910,4
SRR6743911,18
SRR6743912,14
SRR6743914,12
SRR6743916,23
SRR6743917,3
SRR6743918,1
SRR6743922,1
SRR6743923,14
SRR6743926,6
SRR6743928,7
SRR6743935,7
SRR6743939,5
SRR6743940,7
SRR6743941,2
SRR6743942,4
SRR6743945,12
SRR6743947,16
SRR6743951,2
SRR6743952,10
SRR6743953,6
SRR6743954,21
SRR6743955,5
SRR6743958,7
SRR6743959,6
SRR6743961,6
SRR6743962,13
SRR6743963,3
SRR6743964,18
SRR6743969,47
SRR6743970,11
SRR6743972,6
SRR6743980,17
SRR6743982,27
SRR6743985,6
SRR6743986,124
SRR6743988,5
SRR6743989,2
SRR6743991,72
SRR6743994,1
SRR6743999,6
SRR6744000,18
SRR6744001,21
SRR6744002,19
SRR6744004,3
SRR6744006,9
SRR6744009,64
SRR6744010,3
SRR6744011,5
SRR6744014,2
SRR6744015,9
SRR6744016,6
SRR6744017,2
SRR6744020,12
SRR6744022,19
SRR6744025,3
SRR6744027,1
SRR6744028,2
SRR6744033,4
SRR6744037,10
SRR6744039,2
SRR6744040,8
SRR6744042,6
SRR6744043,8
SRR6744044,3
SRR6744046,13
SRR6744048,3
SRR6744049,4
SRR6744050,8
SRR6744051,16
SRR6744052,16
SRR6744053,8
SRR6744062,3
SRR6744063,24
SRR6744065,13
SRR6744066,22
SRR6744068,16
SRR6744069,1
SRR6744070,2
SRR6744071,8
SRR6744073,3
SRR6744076,10
SRR6744078,20
SRR6744079,11
SRR6744082,3
SRR6744085,4
SRR6744089,6
SRR6744090,10
SRR6744091,2
SRR6744093,16
SRR6744100,3
SRR6744102,6
SRR6744103,15
SRR6744104,8
SRR6744106,5
SRR6744112,3
SRR6744113,22
SRR6744115,3
SRR6744118,6
SRR6744119,2
SRR6744120,6
SRR6744124,2
SRR6744129,1
SRR6744130,6
SRR6744131,1
SRR6744135,11
SRR6744136,24
SRR6744137,6
SRR6744143,14
SRR6744145,3
SRR6744147,2
SRR6744149,21
SRR6744150,3
