,sample,ARG,AMR_category,MGE_prediction
SRR6743909_1,SRR6743909,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6743909_2,SRR6743909,TETM,tetracycline,ambiguous (plasmid/phage)
SRR6743909_3,SRR6743909,OPRA,multidrug,unclassified
SRR6743909_4,SRR6743909,TRUNCATED_PUTATIVE_RESPONSE_REGULATOR_ARLR,unclassified,unclassified
SRR6743909_5,SRR6743909,ERMB,MLS,plasmid
SRR6743909_6,SRR6743909,OXA-118,beta-lactam,unclassified
SRR6743909_7,SRR6743909,VANTG,glycopeptide,unclassified
SRR6743909_8,SRR6743909,CFXA2,beta-lactam,plasmid
SRR6743909_9,SRR6743909,RPOB2,multidrug,chromosome
SRR6743909_10,SRR6743909,ERMA,MLS,ambiguous (plasmid/phage)
SRR6743909_11,SRR6743909,VANU,glycopeptide,chromosome
SRR6743909_12,SRR6743909,VANU,glycopeptide,plasmid
SRR6743909_13,SRR6743909,LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE,MLS,ambiguous (phage/chromosome)
SRR6743910_1,SRR6743910,TETR,tetracycline,plasmid
SRR6743910_2,SRR6743910,MEL,multidrug,unclassified
SRR6743910_3,SRR6743910,TETM,tetracycline,unclassified
SRR6743910_4,SRR6743910,TUS-1,beta-lactam,unclassified
SRR6743911_1,SRR6743911,TETM,tetracycline,ambiguous (phage/chromosome)
SRR6743911_2,SRR6743911,ERMB,MLS,ambiguous (phage/chromosome)
SRR6743911_3,SRR6743911,STAPHYLOCOCCUS MUPA CONFERRING RESISTANCE TO MUPIROCIN,mupirocin,plasmid
SRR6743911_4,SRR6743911,VANHO,glycopeptide,unclassified
SRR6743911_5,SRR6743911,GOB-18,beta-lactam,plasmid
SRR6743911_6,SRR6743911,LSAC,multidrug,phage
SRR6743911_7,SRR6743911,FOMA,fosfomycin,unclassified
SRR6743911_8,SRR6743911,TETQ,tetracycline,unclassified
