Bin Id	Completeness	Contamination	Strain heterogeneity	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Sample
SRR6743909_metabat_1	84.8	1.24	25.0	41	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.304874716607706	1.083304	1180	0.909280312820778	SRR6743909
SRR6743909_metabat_2	63.17	2.19	0.0	41	1	UID1334	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Pseudobutyrivibrio	unresolved	31.610971440278977	1.405686	1551	0.8874748699211631	SRR6743909
SRR6743909_metabat_3	65.42	8.79	64.71	13	0	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.78160388348397	1.042981	1076	0.8758596752960984	SRR6743909
SRR6743911_metabat_1	22.41	0.0	0.0	1	0	UID393	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	31.41324968612494	0.25248899999999996	231	0.9340842571359544	SRR6743911
SRR6743911_metabat_2	73.75	0.44	0.0	42	0	UID387	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	s__	32.738166684704005	1.01641	974	0.8971733847561516	SRR6743911
SRR6743911_metabat_3	0.0	0.0	0.0	0	0			unresolved	60.86130484558603	0.284754	380	0.8157356876461788	SRR6743911
SRR6743912_metabat_1	100.0	67.64	72.58	18	24	UID1466	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	41.39863023095183	2.726153	2200	0.8833539423502643	SRR6743912
SRR6743912_metabat_2	97.65	0.81	0.0	32	0	UID2140	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;s__Atopobium_vaginae	g__Atopobium	42.86751145891875	1.416364	1231	0.8711355273079521	SRR6743912
SRR6743912_metabat_3	96.44	1.62	33.33	43	0	UID392	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	unresolved	32.061308562446534	1.295284	1303	0.8968589127944142	SRR6743912
SRR6743912_metabat_4	13.16	0.0	0.0	1	0	UID1470	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella_vaginalis	unresolved	42.07159498421634	0.251526	234	0.8892917630781708	SRR6743912
