MAG	CUBHE	ConsistencyHE	CPB	FilteredSequences	d	LowerCI	UpperCI
SRR6743909_metabat_1	0.6556375	0.5124083	-0.3983203	69	3.096572	2.675974	3.594322
SRR6743909_metabat_2	0.6281472	0.4960888	-0.4058812	119	3.197344	2.721273	3.770859
SRR6743909_metabat_3	0.9616152	0.5229863	-0.3758268	68	0.3126057	0.2400843	0.4112211
SRR6743911_metabat_1	0.6044016	0.4565517	-0.3777927	16	2.329667	1.829202	2.992581
SRR6743911_metabat_2	0.653772	0.4982443	-0.3963414	70	2.598839	2.23472	3.032255
SRR6743911_metabat_3	
SRR6743912_metabat_1	0.9929076	0.5395798	-0.3940793	88	0.2985898	0.2255112	0.3999647
SRR6743912_metabat_2	0.6614238	0.5234119	-0.3940051	70	3.41559	2.928657	3.997129
SRR6743912_metabat_3	0.6499672	0.513067	-0.4055861	89	3.295375	2.84105	3.834523
SRR6743912_metabat_4	
SRR6743912_metabat_5	0.7116101	0.2114094	-0.369194	31	0.0862357	0.04316605	0.1857234
SRR6743914_metabat_1	0.6165504	0.5005455	-0.420899	115	3.798649	3.222574	4.495274
SRR6743914_metabat_2	1.10881	0.4711423	-0.3913455	17	0.07965606	0.0555617	0.116429
SRR6743914_metabat_3	0.9650741	0.5285207	-0.3874122	39	0.3227012	0.2475109	0.4251065
SRR6743914_metabat_4	0.9972885	0.5497778	-0.4155805	38	0.3208083	0.240821	0.432576
SRR6743914_metabat_5	0.8605555	0.4017907	-0.40315	9	0.188612	0.1296547	0.2801971
SRR6743914_metabat_6	0.625716	0.5222995	-0.3986699	63	4.749934	3.99755	5.668307
SRR6743916_metabat_01	0.5732651	0.4878971	-0.4205771	59	4.831746	3.940081	5.961221
SRR6743916_metabat_02	0.6416167	0.5036543	-0.4051444	93	3.128889	2.690407	3.650842
SRR6743916_metabat_03	0.7263828	0.5474464	-0.403378	12	2.597478	2.15091	3.153024
SRR6743916_metabat_04	0.7914726	0.4357522	-0.4141104	9	0.4159549	0.3091202	0.5670416
SRR6743916_metabat_05	0.6351631	0.4908682	-0.3728391	16	2.789256	2.366563	3.300326
SRR6743916_metabat_06	0.9599322	0.5381981	-0.3913622	43	0.3685139	0.2830312	0.4847498
SRR6743916_metabat_07	0.6997373	0.4319362	-0.3988364	13	0.7826565	0.5848914	1.060479
SRR6743916_metabat_08	0.8048471	0.5245322	-0.3826645	32	1.000523	0.8366048	1.202128
SRR6743916_metabat_09	
SRR6743916_metabat_10	0.6968968	0.5452165	-0.3180611	241	3.310236	2.741506	4.017642
SRR6743916_metabat_11	
SRR6743916_metabat_12	0.510822	0.4013406	-0.41884	63	2.600163	1.708192	4.064375
SRR6743916_metabat_13	0.8855056	0.504799	-0.4084905	57	0.4394162	0.348963	0.5576291
SRR6743916_metabat_14	
SRR6743916_metabat_15	0.6337582	0.5764987	-0.4060805	82	10.0634	7.091276	14.54399
SRR6743916_metabat_16	0.6612643	0.4641308	-0.3859165	26	1.564851	1.264401	1.949574
SRR6743917_metabat_1	0.9125588	0.3511704	-0.3896877	32	0.08877033	0.05586353	0.1457169
SRR6743917_metabat_2	0.8660565	0.3872643	-0.383581	87	0.1595937	0.1069071	0.2440505
SRR6743917_metabat_3	
SRR6743917_metabat_4	0.8119166	0.5037512	-0.3719721	16	0.7459246	0.6164494	0.9073746
SRR6743917_metabat_5	
SRR6743919_metabat_1	0.7186572	0.4582541	-0.3741476	45	0.9133246	0.7241869	1.160965
